,COD_DPTO_O,NDEP_PROCE,COD_EVE,NOM_EVE,SEMANA_01,SEMANA_02,SEMANA_03,SEMANA_04,SEMANA_05,SEMANA_06,SEMANA_07,SEMANA_08,SEMANA_09,SEMANA_10,SEMANA_11,SEMANA_12,SEMANA_13,SEMANA_14,SEMANA_15,SEMANA_16,Total general,lat,lon
18,0,ANTIOQUIA,356.0,INTENTO DE SUICIDIO,53,55,78,90,85,91,96,90,73,70,92,69,76,58,65,43,1184,7.0000085,-75.5000086
19,0,ANTIOQUIA,357.0,INFECCIONES ASOCIADAS A DISPOSITIVOS - INDIVIDUAL,55,47,58,59,57,44,24,25,27,37,31,26,25,18,15,14,562,7.0000085,-75.5000086
20,0,ANTIOQUIA,365.0,INTENTO DE SUICIDIO CON MECANISMO INTOXICACIÓN,41,39,57,68,61,72,76,68,54,56,70,46,64,48,49,39,908,7.0000085,-75.5000086
21,0,ANTIOQUIA,,INTOXICACIONES,28,45,38,58,49,56,73,50,50,54,50,50,36,35,34,25,731,7.0000085,-75.5000086
22,0,ANTIOQUIA,420.0,LEISHMANIASIS CUTANEA,29,24,27,15,29,21,15,8,12,15,15,8,9,11,3,0,241,7.0000085,-75.5000086
23,0,ANTIOQUIA,430.0,LEISHMANIASIS MUCOSA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0000085,-75.5000086
24,0,ANTIOQUIA,455.0,LEPTOSPIROSIS,0,1,5,3,1,3,1,0,0,1,2,2,2,1,1,0,23,7.0000085,-75.5000086
25,0,ANTIOQUIA,465.0,MALARIA (TODAS LAS FORMAS),102,132,152,138,143,126,151,139,193,136,161,94,98,135,90,39,2029,7.0000085,-75.5000086
26,0,ANTIOQUIA,535.0,MENINGITIS BACTERIANA Y ENFERMEDAD MENINGOCÓCICA,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,7.0000085,-75.5000086
27,0,ANTIOQUIA,549.0,MORBILIDAD MATERNA EXTREMA,51,52,50,41,63,50,53,38,52,53,53,47,41,43,48,60,795,7.0000085,-75.5000086
28,0,ANTIOQUIA,551.0,MORTALIDAD MATERNA TEMPRANA,0,1,1,1,0,0,0,1,0,0,0,1,2,0,0,1,8,7.0000085,-75.5000086
29,0,ANTIOQUIA,560.0,MORTALIDAD PERINATAL Y NEONATAL TARDÍA,22,21,16,18,17,15,20,20,14,25,12,16,19,28,15,16,294,7.0000085,-75.5000086
30,0,ANTIOQUIA,620.0,PAROTIDITIS,9,9,6,8,11,12,7,7,11,13,8,4,1,4,6,9,125,7.0000085,-75.5000086
31,0,ANTIOQUIA,740.0,SIFILIS CONGENITA,2,6,1,4,2,7,2,3,1,4,2,4,3,10,2,1,54,7.0000085,-75.5000086
32,0,ANTIOQUIA,750.0,SIFILIS GESTACIONAL,14,22,22,24,14,23,19,25,28,20,21,18,7,20,19,17,313,7.0000085,-75.5000086
33,0,ANTIOQUIA,760.0,TETANOS ACCIDENTAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.0000085,-75.5000086
34,0,ANTIOQUIA,770.0,TETANOS NEONATAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7.0000085,-75.5000086
35,0,ANTIOQUIA,800.0,TOS FERINA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7.0000085,-75.5000086
36,0,ANTIOQUIA,813.0,TUBERCULOSIS,44,46,37,51,36,58,51,56,64,44,51,43,35,39,44,23,722,7.0000085,-75.5000086
37,0,ANTIOQUIA,,TUBERCULOSIS FARMACORRESISTENTE,1,4,0,4,3,0,1,1,0,2,2,1,2,2,1,2,26,7.0000085,-75.5000086
38,0,ANTIOQUIA,831.0,VARICELA INDIVIDUAL,14,26,23,19,18,22,24,18,19,16,13,11,16,14,11,14,278,7.0000085,-75.5000086
39,0,ANTIOQUIA,850.0,VIH/SIDA/MORTALIDAD POR SIDA,30,27,26,47,30,53,64,54,41,61,36,65,26,36,48,36,680,7.0000085,-75.5000086
40,0,ANTIOQUIA,875.0,VIGILANCIA EN SALUD PÚBLICA DE LA VIOLENCIA DE GÉNERO E INTRAFAMILIAR,125,155,216,255,237,306,243,290,264,256,259,230,168,225,177,168,3574,7.0000085,-75.5000086
41,0,ANTIOQUIA,895.0,ZIKA,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,5,7.0000085,-75.5000086
42,0,Total ANTIOQUIA,,,980,1110,1230,1304,1279,1375,1338,1332,1382,1331,1311,1141,987,1069,933,754,18856,,
43,08,ATLANTICO,100.0,ACCIDENTE OFIDICO,2,4,3,3,1,2,0,3,1,2,1,2,0,0,0,1,25,10.9799557,-74.8014797
44,0,ATLANTICO,110.0,BAJO PESO AL NACER,9,12,4,7,8,5,4,9,6,6,2,2,7,4,3,0,88,10.9799557,-74.8014797
45,0,ATLANTICO,113.0,DESNUTRICIÓN AGUDA EN MENORES DE 5 AÑOS,8,4,6,4,4,3,5,6,1,6,4,4,3,8,2,1,69,10.9799557,-74.8014797
46,0,ATLANTICO,210.0,DENGUE,28,26,18,25,17,15,20,18,22,10,19,19,10,7,8,4,266,10.9799557,-74.8014797
47,0,ATLANTICO,215.0,DEFECTOS CONGENITOS,1,1,1,1,2,0,0,2,2,0,1,0,0,0,0,0,11,10.9799557,-74.8014797
48,0,ATLANTICO,220.0,DENGUE GRAVE,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,6,10.9799557,-74.8014797
49,0,ATLANTICO,298.0,EVENTO ADVERSO POSTERIOR A LA VACUNACION GRAVE,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,6,10.9799557,-74.8014797
50,0,ATLANTICO,300.0,AGRESIONES POR ANIMALES POTENCIALMENTE TRANSMISORES DE RABIA,39,45,36,46,39,53,42,53,43,44,59,38,30,24,31,23,645,10.9799557,-74.8014797
51,0,ATLANTICO,330.0,HEPATITIS A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.9799557,-74.8014797
52,0,ATLANTICO,340.0,"HEPATITIS B, C Y COINFECCIÓN HEPATITIS B Y DELTA",1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,7,10.9799557,-74.8014797
53,0,ATLANTICO,345.0,ESI - IRAG (VIGILANCIA CENTINELA),0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,8,10.9799557,-74.8014797
54,0,ATLANTICO,348.0,INFECCION RESPIRATORIA AGUDA GRAVE INUSITADA,6,5,4,2,2,0,4,0,3,9,2,14,5,5,4,6,71,10.9799557,-74.8014797
55,0,ATLANTICO,352.0,INFECCIONES DE SITIO QUIRÚRGICO ASOCIADAS A PROCEDIMIENTO MÉDICO QUIRÚRGICO,1,1,1,2,1,2,0,0,1,1,0,0,1,0,0,0,11,10.9799557,-74.8014797
56,0,ATLANTICO,356.0,INTENTO DE SUICIDIO,17,14,9,9,11,27,13,12,12,17,10,11,9,10,9,12,202,10.9799557,-74.8014797
57,0,ATLANTICO,357.0,INFECCIONES ASOCIADAS A DISPOSITIVOS - INDIVIDUAL,0,2,4,3,3,0,0,0,1,1,1,1,1,0,3,0,20,10.9799557,-74.8014797
58,0,ATLANTICO,365.0,INTENTO DE SUICIDIO CON MECANISMO INTOXICACIÓN,13,12,8,5,10,19,10,11,9,13,7,10,6,5,6,10,154,10.9799557,-74.8014797
59,0,ATLANTICO,,INTOXICACIONES,11,10,7,8,12,12,3,12,11,13,10,40,14,5,3,12,183,10.9799557,-74.8014797
60,0,ATLANTICO,455.0,LEPTOSPIROSIS,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10.9799557,-74.8014797
61,0,ATLANTICO,465.0,MALARIA (TODAS LAS FORMAS),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9799557,-74.8014797
62,0,ATLANTICO,549.0,MORBILIDAD MATERNA EXTREMA,19,7,12,12,22,17,19,16,17,22,16,20,7,11,8,15,240,10.9799557,-74.8014797
63,0,ATLANTICO,551.0,MORTALIDAD MATERNA TEMPRANA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10.9799557,-74.8014797
64,0,ATLANTICO,560.0,MORTALIDAD PERINATAL Y NEONATAL TARDÍA,5,6,5,4,5,4,5,4,6,4,5,5,3,3,6,2,72,10.9799557,-74.8014797
65,0,ATLANTICO,620.0,PAROTIDITIS,0,0,1,2,1,0,0,1,0,1,1,2,0,0,0,0,9,10.9799557,-74.8014797
66,0,ATLANTICO,740.0,SIFILIS CONGENITA,3,0,0,2,0,0,2,3,1,0,0,0,3,0,1,0,15,10.9799557,-74.8014797
67,0,ATLANTICO,750.0,SIFILIS GESTACIONAL,3,4,6,8,14,8,5,9,5,12,12,7,2,5,8,6,114,10.9799557,-74.8014797
68,0,ATLANTICO,813.0,TUBERCULOSIS,6,5,4,3,10,8,7,9,6,6,8,6,4,3,3,4,92,10.9799557,-74.8014797
69,0,ATLANTICO,,TUBERCULOSIS FARMACORRESISTENTE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.9799557,-74.8014797
70,0,ATLANTICO,831.0,VARICELA INDIVIDUAL,5,1,6,2,6,6,5,5,2,9,6,3,2,4,1,0,63,10.9799557,-74.8014797
71,0,ATLANTICO,850.0,VIH/SIDA/MORTALIDAD POR SIDA,3,4,5,7,7,3,4,15,10,6,7,4,3,10,6,3,97,10.9799557,-74.8014797
72,0,ATLANTICO,875.0,VIGILANCIA EN SALUD PÚBLICA DE LA VIOLENCIA DE GÉNERO E INTRAFAMILIAR,15,43,44,36,42,41,52,36,52,44,56,38,18,23,21,28,589,10.9799557,-74.8014797
73,0,ATLANTICO,895.0,ZIKA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.9799557,-74.8014797
74,0,Total ATLANTICO,,,196,209,187,192,219,227,203,225,213,227,229,228,129,130,128,130,3072,,
75,09,BARRANQUILLA,100.0,ACCIDENTE OFIDICO,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,5,10.9799669,-74.8013085
76,0,BARRANQUILLA,110.0,BAJO PESO AL NACER,18,5,9,11,6,4,3,8,7,2,2,4,4,2,5,3,93,10.9799669,-74.8013085
77,0,BARRANQUILLA,113.0,DESNUTRICIÓN AGUDA EN MENORES DE 5 AÑOS,5,1,4,2,1,1,3,0,3,0,0,2,0,2,1,1,26,10.9799669,-74.8013085
78,0,BARRANQUILLA,210.0,DENGUE,56,40,28,26,34,23,26,15,23,15,16,15,14,10,11,2,354,10.9799669,-74.8013085
79,0,BARRANQUILLA,215.0,DEFECTOS CONGENITOS,0,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,8,10.9799669,-74.8013085
80,0,BARRANQUILLA,220.0,DENGUE GRAVE,0,0,1,1,2,2,0,0,0,0,0,1,1,0,0,0,8,10.9799669,-74.8013085
81,0,BARRANQUILLA,298.0,EVENTO ADVERSO POSTERIOR A LA VACUNACION GRAVE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10.9799669,-74.8013085
82,0,BARRANQUILLA,300.0,AGRESIONES POR ANIMALES POTENCIALMENTE TRANSMISORES DE RABIA,32,35,26,41,36,32,35,52,43,51,30,27,28,19,15,17,519,10.9799669,-74.8013085
83,0,BARRANQUILLA,330.0,HEPATITIS A,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,10.9799669,-74.8013085
84,0,BARRANQUILLA,340.0,"HEPATITIS B, C Y COINFECCIÓN HEPATITIS B Y DELTA",3,3,1,2,1,1,7,3,3,4,0,4,0,0,0,0,32,10.9799669,-74.8013085
85,0,BARRANQUILLA,345.0,ESI - IRAG (VIGILANCIA CENTINELA),0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,7,10.9799669,-74.8013085
86,0,BARRANQUILLA,348.0,INFECCION RESPIRATORIA AGUDA GRAVE INUSITADA,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,6,10.9799669,-74.8013085
87,0,BARRANQUILLA,352.0,INFECCIONES DE SITIO QUIRÚRGICO ASOCIADAS A PROCEDIMIENTO MÉDICO QUIRÚRGICO,1,1,0,2,1,2,1,1,0,2,1,0,0,4,0,0,16,10.9799669,-74.8013085
88,0,BARRANQUILLA,356.0,INTENTO DE SUICIDIO,10,9,17,19,11,12,15,16,23,17,12,21,7,10,7,3,209,10.9799669,-74.8013085
89,0,BARRANQUILLA,357.0,INFECCIONES ASOCIADAS A DISPOSITIVOS - INDIVIDUAL,6,8,10,7,11,6,5,7,5,3,3,2,3,6,3,3,88,10.9799669,-74.8013085
90,0,BARRANQUILLA,365.0,INTENTO DE SUICIDIO CON MECANISMO INTOXICACIÓN,9,3,10,13,6,12,10,11,19,15,9,9,6,8,7,1,148,10.9799669,-74.8013085
91,0,BARRANQUILLA,,INTOXICACIONES,13,8,11,16,13,12,15,16,10,13,5,5,4,11,3,2,157,10.9799669,-74.8013085
92,0,BARRANQUILLA,420.0,LEISHMANIASIS CUTANEA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.9799669,-74.8013085
93,0,BARRANQUILLA,455.0,LEPTOSPIROSIS,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,10.9799669,-74.8013085
94,0,BARRANQUILLA,465.0,MALARIA (TODAS LAS FORMAS),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
95,0,BARRANQUILLA,535.0,MENINGITIS BACTERIANA Y ENFERMEDAD MENINGOCÓCICA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
96,0,BARRANQUILLA,549.0,MORBILIDAD MATERNA EXTREMA,24,23,39,27,34,32,32,34,29,49,31,33,21,23,32,32,495,10.9799669,-74.8013085
97,0,BARRANQUILLA,551.0,MORTALIDAD MATERNA TEMPRANA,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,5,10.9799669,-74.8013085
98,0,BARRANQUILLA,560.0,MORTALIDAD PERINATAL Y NEONATAL TARDÍA,13,8,8,9,10,4,3,15,5,8,11,11,9,3,8,0,125,10.9799669,-74.8013085
99,0,BARRANQUILLA,580.0,MORTALIDAD POR DENGUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
100,0,BARRANQUILLA,591.0,VIGILANCIA INTEGRADA DE MUERTES EN MENORES DE CINCO AÑOS POR ENFERMEDAD DIARREICA AGUDA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
101,0,BARRANQUILLA,,VIGILANCIA INTEGRADA DE MUERTES EN MENORES DE CINCO AÑOS POR INFECCIÓN RESPIRATORIA AGUDA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
102,0,BARRANQUILLA,620.0,PAROTIDITIS,1,1,3,1,4,1,0,0,1,1,2,2,0,0,0,0,17,10.9799669,-74.8013085
103,0,BARRANQUILLA,740.0,SIFILIS CONGENITA,1,4,2,1,2,0,1,2,3,1,2,1,3,4,0,0,27,10.9799669,-74.8013085
104,0,BARRANQUILLA,750.0,SIFILIS GESTACIONAL,8,10,12,11,7,6,20,11,7,8,7,9,9,11,6,8,150,10.9799669,-74.8013085
105,0,BARRANQUILLA,760.0,TETANOS ACCIDENTAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9799669,-74.8013085
106,0,BARRANQUILLA,813.0,TUBERCULOSIS,14,13,15,10,14,12,17,17,14,10,12,10,6,3,8,5,180,10.9799669,-74.8013085
107,0,BARRANQUILLA,,TUBERCULOSIS FARMACORRESISTENTE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10.9799669,-74.8013085
108,0,BARRANQUILLA,831.0,VARICELA INDIVIDUAL,4,3,5,1,3,0,6,1,2,2,3,1,0,1,1,2,35,10.9799669,-74.8013085
109,0,BARRANQUILLA,850.0,VIH/SIDA/MORTALIDAD POR SIDA,13,4,8,18,9,11,13,13,10,9,9,7,11,10,7,15,167,10.9799669,-74.8013085
110,0,BARRANQUILLA,875.0,VIGILANCIA EN SALUD PÚBLICA DE LA VIOLENCIA DE GÉNERO E INTRAFAMILIAR,21,31,28,18,33,38,29,42,30,40,32,31,31,21,9,17,451,10.9799669,-74.8013085
111,0,Total BARRANQUILLA,,,255,213,238,242,243,214,242,269,239,251,189,197,160,152,126,116,3346,,
112,11,BOGOTA,110.0,BAJO PESO AL NACER,65,61,76,69,72,67,73,71,66,66,77,73,75,82,68,60,1121,4.6533326,-74.083652
113,0,BOGOTA,113.0,DESNUTRICIÓN AGUDA EN MENORES DE 5 AÑOS,32,28,51,34,49,53,58,47,59,50,57,53,34,57,71,62,795,4.6533326,-74.083652
114,0,BOGOTA,215.0,DEFECTOS CONGENITOS,25,25,31,26,14,25,24,33,24,17,31,17,0,0,0,0,292,4.6533326,-74.083652
115,0,BOGOTA,298.0,EVENTO ADVERSO POSTERIOR A LA VACUNACION GRAVE,3,1,12,2,4,3,11,20,30,28,19,27,12,19,16,13,220,4.6533326,-74.083652
116,0,BOGOTA,300.0,AGRESIONES POR ANIMALES POTENCIALMENTE TRANSMISORES DE RABIA,251,263,292,310,322,331,304,345,316,378,344,338,346,335,306,311,5092,4.6533326,-74.083652
117,0,BOGOTA,330.0,HEPATITIS A,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,6,4.6533326,-74.083652
118,0,BOGOTA,340.0,"HEPATITIS B, C Y COINFECCIÓN HEPATITIS B Y DELTA",2,5,1,12,3,6,9,6,13,18,12,5,0,0,0,0,92,4.6533326,-74.083652
119,0,BOGOTA,345.0,ESI - IRAG (VIGILANCIA CENTINELA),3,0,2,3,2,1,0,0,4,2,4,7,5,7,7,6,53,4.6533326,-74.083652
120,0,BOGOTA,348.0,INFECCION RESPIRATORIA AGUDA GRAVE INUSITADA,16,27,16,4,5,5,4,4,4,9,14,12,17,34,20,22,213,4.6533326,-74.083652
121,0,BOGOTA,352.0,INFECCIONES DE SITIO QUIRÚRGICO ASOCIADAS A PROCEDIMIENTO MÉDICO QUIRÚRGICO,12,3,5,9,11,15,11,8,9,9,7,7,7,12,3,4,132,4.6533326,-74.083652
122,0,BOGOTA,356.0,INTENTO DE SUICIDIO,64,48,76,96,48,65,72,45,90,91,85,67,57,106,93,97,1200,4.6533326,-74.083652
123,0,BOGOTA,357.0,INFECCIONES ASOCIADAS A DISPOSITIVOS - INDIVIDUAL,93,107,90,70,90,69,61,37,44,39,59,33,30,27,26,12,887,4.6533326,-74.083652
124,0,BOGOTA,365.0,INTENTO DE SUICIDIO CON MECANISMO INTOXICACIÓN,40,29,49,59,40,44,49,29,62,58,59,42,39,70,56,64,789,4.6533326,-74.083652
125,0,BOGOTA,,INTOXICACIONES,23,26,35,51,49,56,54,50,66,57,69,46,41,57,37,49,766,4.6533326,-74.083652
126,0,BOGOTA,455.0,LEPTOSPIROSIS,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4.6533326,-74.083652
127,0,BOGOTA,535.0,MENINGITIS BACTERIANA Y ENFERMEDAD MENINGOCÓCICA,1,1,0,1,0,2,0,0,3,1,1,0,0,0,0,0,10,4.6533326,-74.083652
128,0,BOGOTA,549.0,MORBILIDAD MATERNA EXTREMA,82,78,83,59,82,101,84,82,82,89,75,86,82,107,91,88,1351,4.6533326,-74.083652
129,0,BOGOTA,551.0,MORTALIDAD MATERNA TEMPRANA,0,0,1,1,0,1,1,1,0,0,1,1,1,0,2,0,10,4.6533326,-74.083652
130,0,BOGOTA,560.0,MORTALIDAD PERINATAL Y NEONATAL TARDÍA,17,19,18,16,14,10,19,13,16,9,11,9,20,11,20,15,237,4.6533326,-74.083652
131,0,BOGOTA,591.0,VIGILANCIA INTEGRADA DE MUERTES EN MENORES DE CINCO AÑOS POR INFECCIÓN RESPIRATORIA AGUDA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6533326,-74.083652
132,0,BOGOTA,620.0,PAROTIDITIS,12,16,17,11,19,8,16,23,27,16,28,12,11,14,19,9,258,4.6533326,-74.083652
133,0,BOGOTA,740.0,SIFILIS CONGENITA,1,5,2,0,5,5,2,5,4,2,3,1,3,0,4,4,46,4.6533326,-74.083652
134,0,BOGOTA,750.0,SIFILIS GESTACIONAL,19,21,20,17,22,20,17,22,20,20,15,16,14,16,18,9,286,4.6533326,-74.083652
135,0,BOGOTA,800.0,TOS FERINA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.6533326,-74.083652
136,0,BOGOTA,813.0,TUBERCULOSIS,22,20,20,16,22,23,24,12,19,26,31,20,13,24,13,16,321,4.6533326,-74.083652
137,0,BOGOTA,,TUBERCULOSIS FARMACORRESISTENTE,0,3,0,0,0,1,0,0,1,1,1,1,1,0,0,3,12,4.6533326,-74.083652
138,0,BOGOTA,831.0,VARICELA INDIVIDUAL,35,36,31,31,27,30,37,32,39,36,29,41,24,38,28,39,533,4.6533326,-74.083652
139,0,BOGOTA,850.0,VIH/SIDA/MORTALIDAD POR SIDA,39,37,76,52,68,59,80,78,81,82,72,82,39,47,75,87,1054,4.6533326,-74.083652
140,0,BOGOTA,875.0,VIGILANCIA EN SALUD PÚBLICA DE LA VIOLENCIA DE GÉNERO E INTRAFAMILIAR,12,88,216,279,250,263,264,312,274,401,343,339,320,251,343,326,4281,4.6533326,-74.083652
141,0,BOGOTA,895.0,ZIKA,0,1,1,2,0,1,0,2,1,1,1,2,0,0,0,0,12,4.6533326,-74.083652
142,0,Total BOGOTA,,,871,949,1221,1231,1218,1264,1275,1277,1355,1507,1449,1339,1191,1314,1316,1296,20073,,
143,13,BOLIVAR,100.0,ACCIDENTE OFIDICO,4,6,6,0,3,4,2,4,1,1,3,2,2,1,5,6,50,10.4190661,-75.5267671
144,0,BOLIVAR,110.0,BAJO PESO AL NACER,11,12,5,9,2,8,6,5,2,9,6,13,7,7,4,1,107,10.4190661,-75.5267671
145,0,BOLIVAR,113.0,DESNUTRICIÓN AGUDA EN MENORES DE 5 AÑOS,9,1,9,8,7,9,11,10,6,8,4,5,3,7,6,7,110,10.4190661,-75.5267671
146,0,BOLIVAR,210.0,DENGUE,28,19,22,16,24,21,25,15,10,9,11,9,20,9,13,3,254,10.4190661,-75.5267671
147,0,BOLIVAR,215.0,DEFECTOS CONGENITOS,2,2,0,4,2,1,2,1,1,1,4,1,0,0,0,0,21,10.4190661,-75.5267671
148,0,BOLIVAR,220.0,DENGUE GRAVE,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,7,10.4190661,-75.5267671
149,0,BOLIVAR,298.0,EVENTO ADVERSO POSTERIOR A LA VACUNACION GRAVE,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,10.4190661,-75.5267671
150,0,BOLIVAR,300.0,AGRESIONES POR ANIMALES POTENCIALMENTE TRANSMISORES DE RABIA,36,32,33,32,31,49,59,36,41,41,46,37,43,37,44,22,619,10.4190661,-75.5267671
151,0,BOLIVAR,340.0,"HEPATITIS B, C Y COINFECCIÓN HEPATITIS B Y DELTA",1,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,8,10.4190661,-75.5267671
152,0,BOLIVAR,348.0,INFECCION RESPIRATORIA AGUDA GRAVE INUSITADA,1,0,0,2,1,2,1,0,0,0,1,0,0,1,1,4,14,10.4190661,-75.5267671
153,0,BOLIVAR,352.0,INFECCIONES DE SITIO QUIRÚRGICO ASOCIADAS A PROCEDIMIENTO MÉDICO QUIRÚRGICO,1,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,7,10.4190661,-75.5267671
154,0,BOLIVAR,356.0,INTENTO DE SUICIDIO,4,5,5,9,13,14,7,12,11,4,5,10,10,13,8,4,134,10.4190661,-75.5267671
155,0,BOLIVAR,357.0,INFECCIONES ASOCIADAS A DISPOSITIVOS - INDIVIDUAL,2,1,0,1,4,1,3,0,1,1,1,0,1,0,0,1,17,10.4190661,-75.5267671
156,0,BOLIVAR,365.0,INTENTO DE SUICIDIO CON MECANISMO INTOXICACIÓN,3,2,4,8,6,9,6,7,4,4,5,6,8,9,5,2,88,10.4190661,-75.5267671
157,0,BOLIVAR,,INTOXICACIONES,11,12,30,15,18,9,15,12,20,13,23,11,9,15,19,5,237,10.4190661,-75.5267671
